base,Parcelas,camera ID,grid,date,CAMPAIGN,time,hour,species,pop name,type,diet,begin,end,days,hours,event ID,N INDS EVENT,N INDS VIDEO,indep,biomass
CB,14A,158,open,4/17/2017,Apr-17,7:16,7,Turdus albicollis,bird,bird,,5/4/2017 12:08,12/5/2017 8:58,36.86805556,884.8333333,5,1,1,0,50
CB,14A,158,open,4/19/2017,Apr-17,6:44,6,Tinamus solitarius,Macuco,bird,granivore,5/4/2017 12:08,12/5/2017 8:58,36.86805556,884.8333333,6,1,1,1,2000
CB,14A,158,open,4/19/2017,Apr-17,6:44,6,Tinamus solitarius,Macuco,bird,granivore,5/4/2017 12:08,12/5/2017 8:58,36.86805556,884.8333333,6,1,1,0,2000
CB,14A,158,open,4/19/2017,Apr-17,6:44,6,Tinamus solitarius,Macuco,bird,granivore,5/4/2017 12:08,12/5/2017 8:58,36.86805556,884.8333333,6,1,1,0,2000
CB,14A,158,open,4/19/2017,Apr-17,6:44,6,Tinamus solitarius,Macuco,bird,granivore,5/4/2017 12:08,12/5/2017 8:58,36.86805556,884.8333333,6,1,1,0,2000
CB,14A,158,open,4/19/2017,Apr-17,6:44,6,Tinamus solitarius,Macuco,bird,granivore,5/4/2017 12:08,12/5/2017 8:58,36.86805556,884.8333333,6,1,1,0,2000
CB,14A,158,open,8/4/2017,Apr-17,1:54,3,Metachirus nudicaudatus,Brown Four-eyed Opossum,marsupial,insectivore,5/4/2017 12:08,12/5/2017 8:58,36.86805556,884.8333333,7,1,1,0,300
CB,14A,158,open,4/19/2017,Apr-17,22:09,9,Tamandua tetradactyla,southern tamandua,insetivore,insectivore,5/4/2017 12:08,12/5/2017 8:58,36.86805556,884.8333333,8,1,1,1,7000
CB,14A,158,open,4/19/2017,Apr-17,22:09,9,Tamandua tetradactyla,southern tamandua,insetivore,insectivore,5/4/2017 12:08,12/5/2017 8:58,36.86805556,884.8333333,8,1,1,0,7000
CB,14A,158,open,4/22/2017,Apr-17,6:49,6,Chamaeza sp.,bird,bird,insectivore,5/4/2017 12:08,12/5/2017 8:58,36.86805556,884.8333333,9,1,1,1,70
CB,14A,158,open,4/22/2017,Apr-17,6:49,6,Chamaeza sp.,bird,bird,insectivore,5/4/2017 12:08,12/5/2017 8:58,36.86805556,884.8333333,9,1,1,0,70
CB,14A,158,open,4/22/2017,Apr-17,6:49,6,Chamaeza sp.,bird,bird,insectivore,5/4/2017 12:08,12/5/2017 8:58,36.86805556,884.8333333,9,1,1,0,70
CB,14A,158,open,4/22/2017,Apr-17,7:16,7,Chamaeza sp.,bird,bird,insectivore,5/4/2017 12:08,12/5/2017 8:58,36.86805556,884.8333333,9,1,1,0,70
CB,14A,158,open,4/22/2017,Apr-17,7:16,7,Chamaeza sp.,bird,bird,insectivore,5/4/2017 12:08,12/5/2017 8:58,36.86805556,884.8333333,9,1,1,0,70
CB,14A,158,open,4/23/2017,Apr-17,7:25,7,Chamaeza sp.,bird,bird,insectivore,5/4/2017 12:08,12/5/2017 8:58,36.86805556,884.8333333,10,1,1,1,70
CB,14A,158,open,4/23/2017,Apr-17,7:25,7,Chamaeza sp.,bird,bird,insectivore,5/4/2017 12:08,12/5/2017 8:58,36.86805556,884.8333333,10,1,1,0,70
CB,14A,158,open,4/23/2017,Apr-17,7:25,7,Chamaeza sp.,bird,bird,insectivore,5/4/2017 12:08,12/5/2017 8:58,36.86805556,884.8333333,10,1,1,0,70
CB,14A,158,open,4/23/2017,Apr-17,8:25,8,Chamaeza sp.,bird,bird,insectivore,5/4/2017 12:08,12/5/2017 8:58,36.86805556,884.8333333,10,1,1,0,70
CB,14A,158,open,4/23/2017,Apr-17,8:25,8,Chamaeza sp.,bird,bird,insectivore,5/4/2017 12:08,12/5/2017 8:58,36.86805556,884.8333333,10,1,1,0,70
CB,14A,158,open,4/23/2017,Apr-17,8:28,8,Chamaeza sp.,bird,bird,insectivore,5/4/2017 12:08,12/5/2017 8:58,36.86805556,884.8333333,10,1,1,0,70
CB,14A,158,open,4/24/2017,Apr-17,17:06,17,Tinamus solitarius,Macuco,bird,granivore,5/4/2017 12:08,12/5/2017 8:58,36.86805556,884.8333333,11,1,1,1,2000
